SP ID	Social Network
1596	Elite
1597	Government
1597	Nobility
1597	Elite
1599	Government
1599	Elite
1602	Nobility
1602	Elite
1603	Government
1603	Nobility
1603	Elite
1604	Elite
1604	Government
1604	Military
1604	Court
1605	Nobility
1605	Elite
1605	Military
1605	Government
1606	Nobility
1606	Elite
1607	Nobility
1607	Elite
1608	Government
1608	Nobility
1609	Government
1609	Military
1609	Court
1609	Nobility
1611	Military
1611	Elite
1611	Nobility
1613	Elite
1613	Government
1613	Military
1613	Court
1614	Elite
1615	Elite
1616	Nobility
1616	Elite
1616	Military
1616	Court
1617	Elite
1618	Nobility
1619	Nobility
1620	Nobility
1620	Elite
1620	Court
1621	Elite
1621	Government
1622	Elite
1622	Nobility
1622	Court
1623	Nobility
1623	Elite
1624	Government
1624	Elite
1626	Government
1628	Elite
1629	Nobility
1629	Elite
1629	Government
1630	Nobility
1630	Elite
1630	Government
1630	Military
1631	Nobility
1631	Elite
1632	Government
1634	Elite
1634	Government
1635	Nobility
1636	Elite
1636	Nobility
1636	Government
1638	Government
1640	Court
1640	Nobility
1640	Elite
1641	Elite
1641	Court
1641	Government
1641	Nobility
1642	Military
1643	Nobility
1643	Elite
1643	Court
1644	Nobility
1644	Elite
1645	Military
1645	Nobility
1645	Elite
1646	Government
1646	Nobility
1646	Elite
1647	Nobility
1648	Court
1648	Nobility
1648	Elite
1649	Nobility
1649	Elite
1650	Nobility
1650	Elite
1653	Nobility
1654	Nobility
1658	Government
1659	Nobility
1659	Government
1659	Elite
1660	Nobility
1660	Government
1660	Elite
1661	Nobility
1661	Elite
1662	Court
1663	Nobility
1663	Elite
1664	Nobility
1664	Elite
1665	Elite
1666	Elite
1667	Nobility
1667	Elite
1668	Government
1668	Elite
1669	Government
1669	Elite
1670	Elite
1670	Court
1671	Nobility
1671	Elite
1671	Military
1671	Government
1671	Court
1672	Nobility
1673	Nobility
1673	Elite
1674	Nobility
1674	Elite
1675	Nobility
1675	Elite
1676	Government
1676	Nobility
1676	Elite
1677	Nobility
1677	Elite
1678	Nobility
1678	Elite
1679	Nobility
1679	Elite
1681	Nobility
1681	Elite
1681	Government
1681	Court
1682	Nobility
1682	Elite
1683	Nobility
1683	Elite
1684	Nobility
1684	Elite
1685	Nobility
1685	Elite
1686	Government
1686	Nobility
1686	Elite
1687	Elite
1688	Nobility
1688	Elite
1689	Nobility
1689	Elite
1690	Nobility
1690	Elite
1691	Nobility
1692	Nobility
1692	Elite
1693	Nobility
1693	Elite
1694	Nobility
1694	Elite
1695	Nobility
1695	Elite
1696	Nobility
1696	Elite
1697	Nobility
1697	Elite
1698	Nobility
1698	Elite
1699	Elite
1699	Nobility
1699	Court
1700	Elite
1700	Nobility
1700	Court
1701	Elite
1701	Government
1702	Elite
1702	Nobility
1702	Court
1703	Elite
1703	Nobility
1703	Court
1704	Elite
1704	Nobility
1704	Court
1705	Elite
1705	Nobility
1706	Elite
1706	Nobility
1706	Court
1707	Elite
1707	Nobility
1707	Military
1707	Court
1708	Elite
1708	Nobility
1708	Court
1709	Government
1709	Military
1709	Elite
1709	Aristoracy
1711	Elite
1711	Nobility
1712	Elite
1712	Nobility
1712	Court
1713	Elite
1713	Nobility
1713	Court
1714	Elite
1714	Nobility
1715	Elite
1715	Nobility
1715	Military
1715	Government
1716	Elite
1716	Nobility
1717	Elite
1717	Nobility
1718	Elite
1718	Nobility
1719	Elite
1719	Nobility
1719	Court
1721	Elite
1721	Government
1722	Elite
1722	Nobility
1722	Court
1723	Elite
1723	Nobility
1723	Court
1724	Elite
1726	Elite
1726	Nobility
1726	Court
1727	Elite
1727	Nobility
1727	Court
1729	Elite
1729	Nobility
1729	Court
1730	Elite
1730	Nobility
1730	Court
1731	Elite
1731	Government
1731	Nobility
1732	Nobility
1732	Elite
1732	Military
1732	Government
1732	Court
1733	Elite
1733	Nobility
1734	Elite
