SP ID	EgoNetworksCombined
1392	Lambert
1393	Lambert
1394	Lambert
1395	Lambert
1396	Lambert
1397	Lambert
1398	Lambert
1399	Lambert
1400	Lambert
1401	Lambert
1402	Lambert
1403	Lambert
1404	Lambert
1405	Lambert
1406	Lambert
1407	Lambert
1408	Lambert
1409	Lambert
1410	Lambert
1411	Lambert
1412	Lambert
1413	Lambert
1414	Lambert
1415	Lambert
1416	Lambert
1417	Lambert
1418	Lambert
1419	Lambert
1420	Lambert
1421	Lambert
1421	Encyclopedistes
1422	Lambert
1423	Lambert
1423	Tencin
1423	Graffigny
1424	Voltaire
1424	Rousseau
1424	Lambert
1424	Entresol
1425	Voltaire
1425	Lespinasse
1425	Necker
1425	Geoffrin
1425	Holbach
1425	Helvetius
1425	Luxembourg
1426	Voltaire
1426	Lespinasse
1427	Voltaire
1427	Deffand
1427	Lespinasse
1428	Voltaire
1428	D'Alembert
1428	Lespinasse
1429	Voltaire
1429	D'Alembert
1429	Rousseau
1429	Hume
1429	Lespinasse
1430	Brionne
1431	D'Alembert
1431	Rousseau
1431	Lespinasse
1432	Voltaire
1432	D'Alembert
1432	Lespinasse
1432	Deffand
1432	Necker
1432	Stael
1433	Voltaire
1433	D'Alembert
1433	Lespinasse
1434	Hume
1434	Holbach
1435	D'Alembert
1435	Lespinasse
1435	Necker
1435	Geoffrin
1435	Holbach
1435	Helvetius
1436	Lespinasse
1437	Lespinasse
1438	Lespinasse
1439	Lespinasse
1440	Lespinasse
1441	Lespinasse
1442	Lespinasse
1442	Deffand
1443	Lespinasse
1444	Hume
1444	Lespinasse
1445	Lespinasse
1445	Geoffrin
1445	Graffigny
1445	Holbach
1445	Necker
1446	Voltaire
1446	Lespinasse
1446	Geoffrin
1447	Lespinasse
1447	Geoffrin
1447	Deffand
1448	Voltaire
1448	D'Alembert
1448	Rousseau
1448	ASmith
1448	Lespinasse
1448	Geoffrin
1448	Boufflers
1448	Holbach
1449	Voltaire
1449	Lespinasse
1450	Deffand
1450	Lespinasse
1451	D'Alembert
1451	Deffand
1452	Luynes
1453	Luynes
1454	Luynes
1455	Luynes
1455	Leszcynska
1456	Luynes
1456	Leszcynska
1456	Deffand
1457	Mericourt
1458	Voltaire
1458	D'Alembert
1458	Bentham
1458	Mericourt
1459	Mericourt
1460	Mericourt
1461	Voltaire
1461	 Holbach
1462	Voltaire
1462	Rousseau
1462	Hume
1462	Prie
1462	Entresol
1462	Geoffrin
1462	Holbach
1463	Voltaire
1463	D'Alembert
1463	Deffand
1463	Necker
1464	Necker
1465	Necker
1465	Geoffrin
1466	Deffand
1466	Necker
1466	Stael
1467	Necker
1468	Necker
1469	Necker
1470	Necker
1470	Deffand 
1471	Necker
1472	Necker
1472	Stael
1473	Voltaire
1473	D'Alembert
1473	Rousseau
1473	Encyclopedistes
1473	Dupin
1473	Arnould
1473	Prie
1473	Quinault
1473	Holbach
1474	Voltaire
1474	D'Alembert
1474	Encyclopedistes
1474	Lespinasse
1474	Tencin
1474	Epinay
1474	Deffand
1474	Necker
1474	Holbach
1475	Voltaire
1475	Rousseau
1475	Lespinasse
1476	D'Alembert
1476	Hume
1476	Holbach
1477	Prie
1478	Voltaire
1478	Prie
1479	Voltaire
1479	Prie
1480	Prie
1481	Voltaire
1481	Prie
1481	Tencin
1482	Voltaire
1482	Quinault
1483	Voltaire
1483	Quinault
1484	Voltaire
1484	Quinault
1485	Quinault
1486	Quinault
1487	Quinault
1487	Richelieu
1488	Quinault
1489	Quinault
1490	Quinault
1491	Quinault
1492	Quinault
1493	Quinault
1494	Voltaire
1494	Quinault
1494	Geoffrin
1495	Graffigny
1495	Quinault
1496	Graffigny
1496	Quinault
1497	Voltaire
1497	Geoffrin
1497	Deffand
1497	Quinault
1497	Tencin
1498	Richelieu
1498	Graffigny
1499	Richelieu
1499	Graffigny
1500	Richelieu
1501	Richelieu
1502	Richelieu
1503	Richelieu
1504	Richelieu
1505	Richelieu
1506	Richelieu
1507	Richelieu
1508	Richelieu
1509	Richelieu
1510	Richelieu
1511	Richelieu
1512	Richelieu
1513	Richelieu
1514	Richelieu
1515	Richelieu
1516	Richelieu
1517	Richelieu
1518	Richelieu
1519	Saint-Lambert
1520	Lambert
1520	Deffand
